leaid,per_pupil_exp
0407500,11029.411764705883
0407520,7736.794490165178
0407530,13718.971212836244
0407570,9988.290088095124
0407630,20868.309859154928
0407680,28994.475138121546
0407700,7612.876184089195
0407750,8147.505291104863
0407770,14110.31175059952
0407820,6743.091417983995
0407860,8119.892058596762
0407890,6889.035384670206
0407920,20895.4802259887
0408020,9179.122182680901
0408080,9905.733252866627
0408130,9182.412060301507
0408170,7711.796238778278
0408230,9817.80888030888
0408280,8760.201890034365
0408310,10405.26425042554
0408340,8985.888884044702
0408410,6766.746713852376
0408430,23576.222435282838
0408460,12709.79020979021
0408490,8720.430479617966
0408520,7656.659399178066
0408600,9403.072860400913
0408640,10000
0408680,13654.240608435124
0408800,9531.01976325128
0408820,6962.948898774004
0408850,8272.323953619909
0408880,8210.26282853567
0408910,17123.456790123455
0409060,8492.258139625132
0409090,8716.412859560067
0409120,16142.082429501084
0409160,10677.134887069198
0409190,11710.99173553719
0409250,9094.066449075237
0409310,9060.171473109898
0409390,12505.261413538818
0409430,12591.0654456109
0409460,8678.925536220153
0409510,17813.91304347826
0409540,29825.63025210084
0409570,15139.344262295082
0409600,6994.809063331618
0409630,7852.375933647986
0409731,86079.35440484196
0409733,16165.589794565938
0500001,10562.076749435666
0500006,12643.556627873972
0500009,11218.282368249837
0500012,12751.626256652868
0500015,9057.311270506356
0500016,9651.449722393585
0500017,10367.607570895278
0500019,10633.733261578398
0500020,10922.283356258597
0500021,11091.916682591247
0500023,13567.349252462269
0500026,11638.780262753196
0500028,10075.717703349283
0500029,9287.49816365506
0500030,11041.54078549849
0500032,10216.19627375023
0500035,NA
0500036,NA
0500041,11711.250812920009
0500042,10485.041374920433
0500043,11122.12039332572
0500044,10138.458909960704
0500045,11312.153226419396
0500046,13225.31022459235
0500047,11778.269032766035
0500048,9598.13442371582
0500049,10410.330340225719
0500051,9731.422361092244
0500055,7318.559934542479
0500059,7460.013395847287
0500061,10172.351885098744
0500062,14244.258672047661
0500065,14465.90909090909
0500067,11735.471930906848
0500068,14961.066145687972
0500070,13296.978629329404
0500071,12069.228874106922
0500072,13407.757080887981
0500073,11429.72367438387
0500074,7467.706013363029
0500076,13175.467965302085
0500078,7215.260545905707
0500079,14526.293010170959
0500082,10010.497237569061
0500390,NA
0500394,6402.395314275724
0500397,9691.573033707866
0500398,8341.525423728814
0500402,9322.802814792634
0500403,8447.054930509596
0500405,12493.016918360396
0500406,9721.649484536083
0500407,7646.559849198869
0500408,9093.023255813954
0500409,8006.941766293868
0500410,12314.606741573034
0500411,9573.515092502434
0500412,9673.101673101673
0500413,10258.777633289987
0500414,13278.422273781902
0500415,8880.415944540728
0500416,7200.440528634361
0500417,7385.869565217391
0500418,11129.464285714286
0500419,14764.891749561148
0502250,9706.13133389769
0502280,9791.3112477683
0502430,10562.226799979902
0502550,13772.850455777285
0502580,10305.701246509094
0502610,13975.745909528392
0502670,13383.652875882946
0502700,12579.634464751958
0502730,10349.90253411306
0502790,10864.568128450846
0502820,10457.122856142807
0502880,10360.01081925828
0502960,11149.53671348378
0503030,10213.654796955725
0503060,11571.092300947628
0503090,9625.641025641025
0503150,11307.359307359307
0503240,12908.089045624862
0503300,11183.853211009175
0503320,11372.353864410672
0503420,11300.879931876241
0503450,11430.169912971405
0503480,13336.777313695318
0503630,12390.709903593339
0503640,9834.756305800849
0503690,10174.991845673547
0503710,12017.462010130632
0503750,9747.916345114987
0503770,9899.949974987494
0503840,10488.51269649335
0503960,12917.141720800742
0504020,9374.985590778098
0504050,9490.69647716408
0504080,12860.164646695632
0504110,9088.950531668977
0504170,9961.596488821835
0504200,9549.433630265039
0504350,12161.32459713122
0504370,8776.6041305376
0504380,10201.774349083897
0504410,12538.584951066901
0504560,11462.241653418125
0504590,11079.407023486441
0504680,10619.193055778815
0504740,11149.683479681438
0504800,10929.66664922288
0504860,10129.148969639768
0504890,10407.484635645304
0504930,10151.867547058244
0504980,10553.365887687478
0505170,15839.185205038864
0505190,9954.591663842764
0505340,9760.416666666666
0505410,13719.366527982822
0505430,11601.672875518381
0505470,10491.528705586214
0505500,12722.646882494006
0505550,15058.397683397683
0505580,11021.523457205314
0505680,12335.327002416816
0505760,10300.509191335117
0505850,10155.194805194806
0505970,15063.334834158788
0506060,11509.843031827248
0506090,10222.978277937713
0506120,12588.153287511348
0506150,11209.103199639478
0506210,11813.642443156486
0506240,10448.964075270862
0506270,11584.932729707327
0506330,10813.858921161825
0506360,9414.837380163068
0506420,13737.53280839895
0506540,11226.012046505113
0506630,9340.107474352712
0506690,12104.459578207381
0506840,10417.982081911263
0506870,12115.288888888888
0506900,9929.227444624526
0506930,10554.156479217603
0506990,9626.992099476014
0507110,10937.002903673778
0507140,11261.159687068568
0507170,10466.98248636233
0507230,15278.056372125195
0507290,11686.783149319326
0507320,11007.883978976057
0507350,10736.333891947968
0507380,12496.977025392987
0507530,12155.599933433183
0507560,9963.307995656398
0507620,12136.808899219657
0507680,13151.062576949842
0507710,11805.664668182759
0507740,15122.539035980992
0507770,9758.279190058664
0507840,10928.508146835638
0507860,10784.575370349428
0507890,13597.718224493434
0507920,12843.324576068784
0507990,10545.168727730035
0508040,10622.47909063924
0508130,10802.346485003312
0508240,14112.121212121212
0508280,10431.534985622347
0508340,11671.987901193077
0508400,11631.483496554225
0508490,10350.588235294117
0508610,10901.819710808475
0508640,11759.604921737675
0508670,10598.790444511642
0508700,9894.874807918286
0508730,11851.148851148851
0508940,13055.045163282637
0509000,14386.539914880077
0509060,11384.424683373754
0509150,11666.337611056268
0509190,11668.417701368991
0509240,11096.211835657747
0509270,9827.809047321243
0509330,9772.245642018914
0509360,12935.946655890079
0509390,11686.798170847202
0509420,10040.019844551018
0509480,11944.547336311145
0509510,17643.84730219663
0509540,10229.585065911704
0509570,11430.268367795865
0509600,10355.172939204633
0509630,10570.161753838574
0509720,11137.755678607753
0509750,11673.47494553377
0509780,17682.7025871285
0509840,11654.357459379617
0509990,10228.704784130688
0510080,9955.817939440107
0510170,11749.669873608753
0510200,9436.38245271086
0510260,10346.611851431811
0510290,12345.440494590417
0510320,11591.309924643258
0510380,9822.112972810273
0510410,13943.021201413427
0510440,10434.000119781997
0510560,12330.50279329609
0510680,13664.013637943017
0510920,12293.800539083559
0510950,14227.930535455862
0510980,9374.16232315711
0511010,10254.214752964952
0511070,15056.064972491486
0511130,11065.575339843002
