"X","leaid","year","total_schools.x","count_alt_school_schools","percent_alt","count_tracking_schools","percent_tracking","count_magnet_schools","percent_magnet","count_charter_schools","percent_charter"
5935,1800083,2017,1,NA,NA,NA,NA,NA,NA,1,1
5936,1800084,2011,1,NA,NA,1,1,NA,NA,1,1
5937,1800084,2013,1,NA,NA,NA,NA,NA,NA,1,1
5938,1800086,2011,1,NA,NA,NA,NA,NA,NA,1,1
5939,1800086,2013,1,NA,NA,NA,NA,NA,NA,1,1
5940,1800086,2015,1,NA,NA,NA,NA,NA,NA,1,1
5941,1800086,2017,1,NA,NA,NA,NA,NA,NA,1,1
5942,1800087,2011,1,NA,NA,NA,NA,NA,NA,1,1
5943,1800087,2013,1,NA,NA,NA,NA,NA,NA,1,1
5944,1800087,2015,1,NA,NA,NA,NA,NA,NA,1,1
5945,1800088,2013,1,NA,NA,NA,NA,NA,NA,1,1
5946,1800088,2015,1,NA,NA,NA,NA,NA,NA,1,1
5947,1800088,2017,1,NA,NA,NA,NA,NA,NA,1,1
5948,1800092,2011,1,NA,NA,NA,NA,NA,NA,1,1
5949,1800094,2011,1,NA,NA,1,1,NA,NA,1,1
5950,1800094,2013,1,NA,NA,NA,NA,NA,NA,1,1
5951,1800094,2015,1,NA,NA,NA,NA,NA,NA,1,1
5952,1800094,2017,1,NA,NA,NA,NA,NA,NA,1,1
5954,1800098,2011,1,NA,NA,1,1,NA,NA,1,1
5955,1800098,2013,1,NA,NA,NA,NA,NA,NA,1,1
5956,1800098,2015,1,NA,NA,NA,NA,NA,NA,1,1
5957,1800098,2017,1,NA,NA,NA,NA,NA,NA,1,1
5958,1800099,2011,1,NA,NA,1,1,NA,NA,1,1
5959,1800099,2013,1,NA,NA,NA,NA,NA,NA,1,1
5960,1800099,2015,1,NA,NA,NA,NA,NA,NA,1,1
5961,1800099,2017,1,NA,NA,NA,NA,NA,NA,1,1
5967,1800108,2013,1,NA,NA,NA,NA,NA,NA,1,1
5968,1800108,2015,1,NA,NA,NA,NA,NA,NA,1,1
5969,1800108,2017,1,NA,NA,NA,NA,NA,NA,1,1
5970,1800121,2013,1,NA,NA,NA,NA,NA,NA,1,1
5971,1800121,2015,1,NA,NA,NA,NA,NA,NA,1,1
5972,1800123,2015,1,NA,NA,NA,NA,NA,NA,1,1
5973,1800123,2017,1,NA,NA,NA,NA,NA,NA,1,1
5974,1800131,2013,1,NA,NA,NA,NA,NA,NA,1,1
5975,1800131,2015,1,NA,NA,NA,NA,NA,NA,1,1
5976,1800143,2015,1,NA,NA,NA,NA,NA,NA,1,1
5977,1800146,2017,1,NA,NA,NA,NA,NA,NA,1,1
5978,1800158,2015,1,NA,NA,NA,NA,NA,NA,1,1
5979,1800165,2015,1,NA,NA,NA,NA,NA,NA,1,1
5980,1800165,2017,1,NA,NA,NA,NA,NA,NA,1,1
5981,1800176,2017,1,NA,NA,NA,NA,NA,NA,1,1
5982,1800900,2011,1,NA,NA,1,1,NA,NA,NA,NA
5991,1801200,2011,2,NA,NA,2,1,NA,NA,NA,NA
5995,1803450,2011,7,1,0.142857142857143,3,0.428571428571429,NA,NA,NA,NA
6000,1803630,2011,2,NA,NA,NA,NA,1,0.5,NA,NA
6001,1803630,2013,1,NA,NA,NA,NA,1,1,NA,NA
6002,1803630,2015,1,NA,NA,NA,NA,1,1,NA,NA
6003,1803630,2017,1,NA,NA,NA,NA,1,1,NA,NA
6004,1803700,2011,2,NA,NA,2,1,NA,NA,NA,NA
6007,1803870,2011,1,1,1,NA,NA,1,1,NA,NA
6008,1803870,2013,1,NA,NA,NA,NA,1,1,NA,NA
6009,1803870,2015,5,NA,NA,NA,NA,1,0.2,NA,NA
6010,1803870,2017,3,NA,NA,NA,NA,1,0.333333333333333,NA,NA
6011,1804770,2011,9,NA,NA,8,0.888888888888889,8,0.888888888888889,NA,NA
6012,1804770,2013,15,NA,NA,NA,NA,9,0.6,NA,NA
6013,1804770,2015,15,NA,NA,NA,NA,10,0.666666666666667,NA,NA
6014,1804770,2017,21,NA,NA,NA,NA,11,0.523809523809524,NA,NA
6015,1805550,2011,1,NA,NA,1,1,NA,NA,NA,NA
6019,1806840,2011,1,NA,NA,1,1,NA,NA,NA,NA
6021,1807320,2011,1,1,1,NA,NA,NA,NA,NA,NA
6022,1807320,2013,1,1,1,NA,NA,NA,NA,NA,NA
6026,1808250,2011,1,1,1,NA,NA,NA,NA,NA,NA
6027,1808250,2013,1,1,1,NA,NA,NA,NA,NA,NA
6029,1808250,2017,1,1,1,NA,NA,NA,NA,NA,NA
6035,1809510,2011,1,1,1,1,1,NA,NA,NA,NA
6036,1809510,2013,1,1,1,NA,NA,NA,NA,NA,NA
6037,1809510,2015,1,1,1,NA,NA,NA,NA,NA,NA
6043,1810290,2011,1,1,1,NA,NA,NA,NA,NA,NA
6069,1914370,2011,4,NA,NA,2,0.5,NA,NA,NA,NA
6077,1923340,2011,1,NA,NA,1,1,NA,NA,NA,NA
6088,1932010,2011,1,1,1,NA,NA,NA,NA,NA,NA
6089,2000002,2013,1,NA,NA,NA,NA,NA,NA,1,1
6090,2000002,2015,1,NA,NA,NA,NA,NA,NA,1,1
6091,2000002,2017,1,NA,NA,NA,NA,NA,NA,1,1
