"leaid","ave_students_susp_in_sch","ave_students_susp_out_sch_single","ave_students_susp_out_sch_multiple","ave_students_arrested","ave_expulsions_no_ed_serv_white","ave_expulsions_no_ed_serv_black","ave_expulsions_no_ed_serv_hispanic","ave_expulsions_with_ed_serv_white","ave_expulsions_with_ed_serv_black","ave_expulsions_with_ed_serv_hispanic","ave_expulsions_zero_tolerance_white","ave_expulsions_zero_tolerance_black","ave_expulsions_zero_tolerance_hispanic","ave_percentage_students_susp_in_sch_white","ave_percentage_students_susp_in_sch_black","ave_percentage_students_susp_in_sch_hispanic"
1000025,8.66666666666667,11.6666666666667,5.33333333333333,0,0,2,0,0,0,0,0,0,0,NA,NA,NA
1000026,7.41666666666667,7.91666666666667,3.75,0,0,0,0,0,0,0,0,0,0,0.0087216825,0.029318275,0.0308936825
1000047,0.333333333333333,9.66666666666667,13.5,0,0,0,0,0,0,0,0,0,0,NA,0.01219512,0
1000048,18.4444444444444,9.11111111111111,27,0,0,0,0,0,2.33333333333333,0,0,0,0,0.0370370333333333,0.10035105,0.0370370333333333
1000049,0.444444444444444,4.33333333333333,3.77777777777778,0,0,0,0,1.33333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0,Inf,Inf,NA
1000050,0.416666666666667,7.41666666666667,3.58333333333333,0,0,0,0,0.5,0.5,0.5,0,0,0,0.00297619,0.00227272725,0.005555555
1000051,6.66666666666667,3,2.33333333333333,0,0,0,0,0,0,0,0,0,0,0.03448276,0.0952381,0.3333333
1000052,2.41666666666667,4.25,6.08333333333333,0,0,0,0,0,0,0,0,0,0,0.0241232875,0.0200569375,0
1000080,9.59770114942529,7.22413793103448,4.56896551724138,0.413793103448276,0,0.0517241379310345,0,0.258620689655172,0.0344827586206897,0,0,0,0,0.00221842256551724,0.00580199084137931,0.00407677168965517
1000170,9.17171717171717,7.19191919191919,3.78787878787879,0.292929292929293,0,0.181818181818182,0,0.242424242424242,0.272727272727273,0.0606060606060606,0,0.121212121212121,0,0.00439387934545455,0.0157857884242424,0.00477074557575758
1000180,14.7820512820513,6.08333333333333,3.10897435897436,0.237179487179487,0,0,0,0.192307692307692,0.615384615384615,0,0,0,0,0.00433081220961538,0.0109469420769231,0.00635274315384615
1000190,7.75694444444444,10.4722222222222,9.26388888888889,0.194444444444444,0.0833333333333333,0.520833333333333,0.0416666666666667,0.166666666666667,0.416666666666667,0.0416666666666667,0.0416666666666667,0.0833333333333333,0.0416666666666667,0.00286045885416667,0.0053572249375,0.00263753139583333
